pilote;nb_q;nb_q2;nb_q3;nb_poles_q;best_q;moy_q;vsCoeq_q;nb_s;nb_top8_s;nb_podium_s;nb_win_s;best_s;moy_s;vsCoeq_s;nb_c;nb_top10_c;nb_podium_c;nb_win_c;best_c;moy_c;vsCoeq_c
RP1 Fifou;9;8;4;0;4;10.89;8;1;0;0;0;16;16.0;0;9;4;0;0;5;9.56;6
Shadd;9;4;0;0;11;15.11;1;2;0;0;0;13;14.5;1;9;4;0;0;6;12.33;3
KNF Fradj;10;9;8;0;4;8.1;1;2;1;1;0;3;6.0;0;10;6;2;0;3;9.1;2
RS Al3xx;2;2;1;0;10;12.0;2;0;0;0;0;0;0;0;2;0;0;0;18;18.5;0
F1XR Noich;5;2;0;0;11;16.6;0;1;0;0;0;10;10.0;1;5;1;0;0;10;11.6;3
NoN4me Bappe;10;4;1;0;8;15.3;3;2;1;0;0;8;9.5;2;10;7;2;0;3;8.5;8
aRAC Pafael;3;1;0;0;15;17.33;1;1;0;0;0;18;18.0;0;3;3;1;0;2;6.67;3
KS Virtuozz;4;0;0;0;17;17.75;1;0;0;0;0;0;0;0;4;1;0;0;10;12.25;4
Leonh4rte;1;0;0;0;19;19.0;0;0;0;0;0;0;0;0;1;0;0;0;20;20.0;0
LDL Shermy;10;6;1;0;10;15.5;1;2;0;0;0;12;13.0;1;10;3;0;0;9;14.1;1
Djedjam;7;7;7;2;1;3.29;6;2;2;1;1;1;2.5;2;7;7;5;1;1;3.29;7
PuRa Matex;8;6;5;0;3;9.62;4;2;2;0;0;5;5.5;2;8;3;0;0;4;12.5;5
Legion Rambow;1;1;1;0;5;5.0;0;1;0;0;0;12;12.0;0;1;1;0;0;10;10.0;0
MCR Raiko;2;2;2;0;3;5.0;2;0;0;0;0;0;0;0;2;0;0;0;17;18.0;0
Wissam;7;4;2;0;2;14.0;3;1;1;1;0;2;2.0;1;7;3;1;0;3;12.43;4
NXS Tiga;2;0;0;0;18;18.5;0;0;0;0;0;0;0;0;2;1;0;0;10;13.0;1
Tonati2514;2;2;2;1;1;2.0;2;0;0;0;0;0;0;0;2;1;1;1;1;9.0;1
CHR Kaloz;1;1;1;0;7;7.0;1;0;0;0;0;0;0;0;1;0;0;0;16;16.0;1
Rocha1307;6;5;3;0;2;9.83;2;1;0;0;0;18;18.0;0;6;2;0;0;4;12.0;1
